Date, WSSC - Patuxent reservoirs current usable storage (BG), WSSC - Little Reservoir current usable storage (BG), FW - Occoquan Reservoir current usable storage (BG), USACE - Jennings Randolph Reservoir current usable storage (BG), USACE - Jennings Randolph Reservoir water supply storage (BG), USACE - Savage Reservoir current usable storage (BG)
2026-03-28, 7.63, 3.84, 8.2668, 28.483856538173, 13.1, 4.613
2026-03-29, 7.64, 3.85, 8.2844, 28.552156538173, 13.1, 4.653
2026-03-30, 7.65, 3.85, 8.28, 28.801156538173, 13.1, 4.655
2026-03-31, 7.66, 3.86, 8.2844, 28.885356538173, 13.1, 4.624
2026-04-01, 7.69, 3.84, 8.2888, 28.920156538173, 13.1, 4.609
2026-04-02, 7.74, 3.82, 8.3592, 28.934656538173, 13.1, 4.603
2026-04-03, 7.75, 3.8, 8.3548, 29.059356538173, 13.1, 4.586
2026-04-04, 7.77, 3.8, 8.3416, 28.978156538173, 13.1, 4.592
2026-04-05, 7.81, 3.8, 8.324, 28.882456538173, 13.1, 4.621
2026-04-06, 7.84, 3.81, 8.346, 28.989756538173, 13.1, 4.635
2026-04-07, 7.85, 3.81, 8.324, 29.047756538173, 13.1, 4.638
2026-04-08, 7.85, 3.8, 8.302, 29.047756538173, 13.1, 4.637
2026-04-09, 7.86, 3.8, 8.28, 29.047756538173, 13.1, 4.634
2026-04-10, 7.87, 3.8, 8.2316, 29.030356538173, 13.1, 4.627
2026-04-11, 7.87, 3.8, 8.2668, 28.954956538173, 13.1, 4.623
2026-04-12, 7.89, 3.79, 8.258, 28.943356538173, 13.1, 4.618
2026-04-13, 7.9, 3.79, 8.2624, 28.925956538173, 13.1, 4.611
2026-04-14, 7.91, 3.79, 8.2624, 29.007156538173, 13.1, 4.601
2026-04-15, 7.91, 3.79, 8.258, 28.981056538173, 13.1, 4.591
2026-04-16, 7.92, 3.79, 8.2448, 28.943356538173, 13.1, 4.583
2026-04-17, 7.93, 3.79, 8.2404, 28.905656538173, 13.1, 4.575
2026-04-18, 7.91, 3.79, 8.2184, 28.681156538173, 13.1, 4.565
2026-04-19, 7.92, 3.79, 8.2052, 28.504156538173, 13.1, 4.555
2026-04-20, 7.9, 3.78, 8.192, 28.475156538173, 13.1, 4.543
